ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
10019,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,1 handle,137,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10020,,030; 031,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",2 rims,23,"1 iscookware, grey",2 body sherds,47,,1 body sherd,7,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2,,,,,,1 small grey and red
10021,10021_1 Lamp fragment,065; 066,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","7 handles, 3 rims, 1 body sherd, 1 other",523,1 rim with concretions; other is lamp fragment *,,,,1 body sherd,2,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10023,,018; 019,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 handle, 5 rims",328,,"1 base, 13 handles, 7 rims, 7 body sherds",839,1 S-shaped handle curved; 1 rim with groove,"1 base, 1 body sherd",10,Full Kotyle base *,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,2,,,,,,1 brick; 1 tile with slip (BG)
10024,,020; 021,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","2 handles, 4 rims",340,,"5 handles, 2 rims, 3 body sherds",479,1 red handle; 1 rim cookware; 1 combed body sherd,1 base,27,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,1,,,,,,
10025,,022; 023,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","3 handles, 1 rim, 1 body sherd",226,1 Amphora handle,"3 handles, 2 rims, 1 body sherd",222,,1 body sherd,15,Grey throughout or Minyan*,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10026,,011; 012,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","2 handles, 2 rims, 1 body sherd",209,Combed body sherd,"2 handles, 1 rim",79,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
10027,,007; 008,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,"1 handle, 1 other",34,Other is figurine fragment *,1 rim,7,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,1,,,,,Chert flake
10028,,024; 025,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 handle,64,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10029,,028; 029,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 rim,17,,"1 base, 2 rims, 1 body sherd",90,Rim with groove,"2 bases, 1 rim",11,Votive Kotyle Base; 1 rim with BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10030,,034; 035,Mon Jan 27 00:00:00 CET 2020,"NS, SR","2 handles, 2 body sherds",87,,1 handle,53,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10031,,038; 039,Mon Jan 27 00:00:00 CET 2020,"NS, SR","5 handles, 4 rims, 3 body sherds",482,"Amphora top, body sherd with grooves","1 handle, 1 rim",100,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10032,,040; 041,Mon Jan 27 00:00:00 CET 2020,"RK, JB","1 handle, 2 rims",297,,"1 base, 1 body sherd",91,Body sherd with grooves,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
10033,,044; 045,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 handle, 1 rim",121,,1 body sherd,31,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10034,,042; 043,Mon Jan 27 00:00:00 CET 2020,"NS, SR",,,,1 handle,60,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10035,,052; 053,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 handle, 1 rim",166,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10037,,036; 037,Mon Jan 27 00:00:00 CET 2020,"RK, JB",2 handles,235,,1 other,14,Figurine torso *,3 bases,10,"BG, Paint, Votive Kotyle *",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,,,,,
10038,,054; 055,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 handle,86,"Grooves, dark red",,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,,,,,,
